city_id,date,disaster_type,city,province,cause,death,missing_person,injured_person,damaged_house,flooded_house,damaged_facility,year
5310,2018-01-01,BANJIR,MANGGARAI,NUSA TENGGARA TIMUR,Tidak diketahui,0,0,0,1,0,0,2018
6311,2018-01-01,BANJIR,BALANGAN,KALIMANTAN SELATAN,Tidak diketahui,0,0,0,0,25,0,2018
5103,2018-01-01,BANJIR,BADUNG,BALI,Tidak diketahui,0,0,0,0,3,0,2018
5106,2018-01-01,TANAH LONGSOR,BANGLI,BALI,Tidak diketahui,0,0,0,1,0,0,2018
5310,2018-01-01,TANAH LONGSOR,MANGGARAI,NUSA TENGGARA TIMUR,Tidak diketahui,0,0,0,1,0,0,2018
3504,2018-01-01,CUACA EKSTREM,TULUNGAGUNG,JAWA TIMUR,Tidak diketahui,0,0,0,30,0,0,2018
3504,2018-01-01,CUACA EKSTREM,TULUNGAGUNG,JAWA TIMUR,Tidak diketahui,0,0,0,16,0,0,2018
5371,2018-01-01,CUACA EKSTREM,KOTA KUPANG,NUSA TENGGARA TIMUR,Tidak diketahui,0,0,0,11,0,0,2018
6301,2018-01-01,CUACA EKSTREM,TANAH LAUT,KALIMANTAN SELATAN,Tidak diketahui,0,0,0,1,0,0,2018
5310,2018-01-01,CUACA EKSTREM,MANGGARAI,NUSA TENGGARA TIMUR,Tidak diketahui,0,0,0,1,0,1,2018
5105,2018-01-01,TANAH LONGSOR,KLUNGKUNG,BALI,Tidak diketahui,0,0,0,1,0,0,2018
1106,2018-01-01,BANJIR,ACEH BESAR,ACEH,Tidak diketahui,0,0,0,0,28,0,2018
5310,2018-01-02,BANJIR,MANGGARAI,NUSA TENGGARA TIMUR,Tidak diketahui,0,0,0,1,0,0,2018
7317,2018-01-02,TANAH LONGSOR,LUWU,SULAWESI SELATAN,Tidak diketahui,0,0,0,4,0,0,2018
1106,2018-01-02,BANJIR,ACEH BESAR,ACEH,Tidak diketahui,0,0,0,0,0,0,2018
5103,2018-01-02,TANAH LONGSOR,BADUNG,BALI,Tidak diketahui,0,0,0,0,0,0,2018
3204,2018-01-02,BANJIR,BANDUNG,JAWA BARAT,Tidak diketahui,0,0,0,0,525,0,2018
3318,2018-01-02,BANJIR,PATI,JAWA TENGAH,Tidak diketahui,0,0,0,0,0,0,2018
5315,2018-01-02,CUACA EKSTREM,MANGGARAI BARAT,NUSA TENGGARA TIMUR,Tidak diketahui,0,0,0,1,0,4,2018
1107,2018-01-02,BANJIR,PIDIE,ACEH,Tidak diketahui,0,0,0,1,0,0,2018
